file_id,file_name,relative_path,format,source_type,source_url,topic_expected,difficulty_expected,has_text_layer,is_duplicate,is_bad_file,comment
pdf_real_001,lecture7.pdf,data/real_input/pdf/lecture7.pdf,pdf,local_course_material,,operating_systems,medium,true,false,false,Real lecture PDF with text layer and incomplete embedded metadata.
docx_real_001,lecture-3.docx,data/real_input/docx/lecture-3.docx,docx,local_course_material,,operating_systems,medium,true,false,false,Real DOCX lecture note; core properties are mostly empty.
html_real_001,boolean_function.html,data/real_input/html/boolean_function.html,html,local_saved_page,https://neerc.ifmo.ru/wiki/index.php?title=Определение_булевой_функции,mathematics,hard,true,false,false,Saved educational HTML page used for 3-format pilot run.
docx_synth_001,synthetic_01_python.docx,data/real_input/docx/synthetic_01_python.docx,docx,synthetic,,programming,easy,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_002,synthetic_02_sql.docx,data/real_input/docx/synthetic_02_sql.docx,docx,synthetic,,databases,medium,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_003,synthetic_03_ml.docx,data/real_input/docx/synthetic_03_ml.docx,docx,synthetic,,machine_learning,medium,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_004,synthetic_04_os.docx,data/real_input/docx/synthetic_04_os.docx,docx,synthetic,,operating_systems,medium,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_005,synthetic_05_networks_security.docx,data/real_input/docx/synthetic_05_networks_security.docx,docx,synthetic,,computer_networks,medium,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_006,synthetic_06_discrete_math.docx,data/real_input/docx/synthetic_06_discrete_math.docx,docx,synthetic,,mathematics,hard,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
bad_001,bad_not_a_pdf.pdf,data/real_input/bad_files/bad_not_a_pdf.pdf,pdf,synthetic_bad_file,,unknown,unknown,false,false,true,Invalid PDF extension used to verify that pipeline records extractor errors and continues.
